in domain,method,model,in-domain-dataset,selected,training task,self-output criteria,avg ppl (overall),avg ppl (only gt),avg ppl (rm gt),training step,gt data/ data size,epoch size,avg token length,gt model,original base,mbpp test,math test,arc test (cot),arc test,gsm8k,bird-test,mbpp-test vs gt model,mbpp-test vs original llama,math-test vs gt model,math-test vs original llama,arc test vs gt model,arc test vs original llama,gsm8k vs task gt model,gsm8k vs original llama
,,,,FALSE,setting 1,,,,,,,,,,,,,,,,,,,,,,,,
mbpp,self-output,llama,mbpp,FALSE,mbpp,lowest,3.39,11.4,1.84,100,41/253,0.790513834,,0.5308,0.5979,0.6008,,,,0.7862,,7%,0.26%,,,25.34%,0.34%,22.44%,1.06%
mbpp,self-output,llama,mbpp,FALSE,mbpp,lowest,3.39,11.4,1.84,200,41/253,1.581027668,,0.5582,0.5979,0.6322,,,,0.765,,7.40%,0.37%,,,26.70%,1.79%,23.20%,-1.06%
mbpp,self-output,llama,mbpp,FALSE,mbpp,Q1,4.01,10.23,2.56,100,48/253,0.790513834,,0.5308,0.5979,0.6347,,,,,,10.39%,3.70%,,,,,,
mbpp,self-output,llama,mbpp,FALSE,mbpp,Q1,4.01,10.23,2.56,200,48/253,1.581027668,,0.5582,0.5979,0.5556,,,,0.7672,,-0.26%,-4.23%,,,,,20.54%,-0.84%
mbpp,self-output,llama,mbpp,FALSE,mbpp,Q2,4.9,10.23,3.66,100,48/253,0.790513834,,0.5308,0.5979,0.6223,,,,0.7874,,9.15%,3.44%,,,,,22.29%,0.91%
mbpp,self-output,llama,mbpp,FALSE,mbpp,Q2,4.9,10.23,3.66,200,48/253,1.581027668,,0.5582,0.5979,0.6190,,,,0.7779,,6.08%,4.76%,,,,,24.49%,0.23%
mbpp,self-output,llama,mbpp,FALSE,mbpp,Q3,6.15,10.4,4.95,100,56/253,0.790513834,,0.5308,0.5979,0.6190,,,,0.7718,,8.82%,2.11%,,,,,21.00%,-0.38%
mbpp,self-output,llama,mbpp,FALSE,mbpp,Q3,6.15,10.4,4.95,200,56/253,1.581027668,,0.5582,0.5979,0.5741,,,,0.7832,,1.59%,-2.38%,,,,,22.50%,0.76%
mbpp,self-output,llama,mbpp,FALSE,mbpp,highest,14.6,12.68,12.48,100,218/253,0.790513834,,0.5308,0.5979,0.5291,,,,0.6376,,-0.17%,-6.88%,,,,,7.58%,-13.80%
mbpp,self-output,llama,mbpp,FALSE,mbpp,highest,14.6,12.68,12.48,200,218/253,1.581027668,,0.5582,0.5979,0.5582,,,,0.5974,,0%,-4.50%,,,,,6.44%,-17.82%
mbpp,,,,FALSE,remove gt,,,,,,,,,,,,,,,,,,,,,,,,
mbpp,self-output,llama,mbpp,FALSE,mbpp,lowest,1.84,0,1.84,100,0/212,0.9433962264,,0.5308,0.5979,0.6138,,,,0.7938,,8.30%,1.59%,,,25.81%,0.81%,23.20%,1.82%
mbpp,self-output,llama,mbpp,FALSE,mbpp,lowest,1.84,0,1.84,200,0/212,1.886792453,,0.5582,0.5979,0.6005,,,,0.7801,,4.23%,0.26%,,,,,24.71%,0.45%
mbpp,self-output,llama,mbpp,FALSE,mbpp,Q1,2.56,0,2.56,100,0/205,0.9433962264,,0.5308,0.5979,0.6058,,,,0.7839,,7.50%,0.79%,,,26.11%,1.11%,22.21%,0.83%
mbpp,self-output,llama,mbpp,FALSE,mbpp,Q1,2.56,0,2.56,200,0/205,1.886792453,,0.5582,0.5979,0.5969,,,,0.7733,,3.97%,0.00%,,,,,24.03%,-0.23%
mbpp,self-output,llama,mbpp,FALSE,mbpp,Q2,3.66,0,3.66,100,0/205,0.9433962264,,0.5308,0.5979,0.6085,,,,0.7672,,7.77%,1.06%,,,25.69%,0.69%,20.54%,-0.84%
mbpp,self-output,llama,mbpp,FALSE,mbpp,Q2,3.66,0,3.66,200,0/205,1.886792453,,0.5582,0.5979,0.5847,,,,0.7733,,2.65%,-1.32%,,,,,24.03%,-0.23%
mbpp,self-output,llama,mbpp,FALSE,mbpp,Q3,4.95,0,4.95,100,0/197,0.9433962264,,0.5308,0.5979,0.5873,,,,0.771,,5.65%,-1.06%,,,24.66%,-0.34%,20.92%,-0.46%
mbpp,self-output,llama,mbpp,FALSE,mbpp,Q3,4.95,0,4.95,197,0/197,1.886792453,,0.5582,0.5979,0.6138,,,,,,5.56%,1.59%,,,,,,
mbpp,self-output,llama,mbpp,FALSE,mbpp,highest,12.48,0,12.48,36,0/35,0.9433962264,,0.5308,0.5979,0.5899,,,,0.771,,5.91%,-0.80%,,,,,20.92%,-0.46%
mbpp,,,mbpp,FALSE,not considering gt at fiirst,,,,,,,,,,,,,,,,,,,,,,,,
mbpp,self-output,llama,mbpp,FALSE,mbpp,lowest,1.86,0,1.86,100,0/213,0.9389671362,193,0.5308,0.5979,0.6138,0.314,,,,,8.30%,1.59%,7.67%,0.00%,25.69%,0.69%,,
mbpp,self-output,llama,mbpp,FALSE,mbpp,lowest,1.86,0,1.86,200,0/213,1.877934272,193,0.5582,0.5979,0.6164,0.323,,,0.7779,,,1.85%,9.17%,0.90%,25.77%,0.86%,24.49%,0.23%
mbpp,self-output,llama,mbpp,FALSE,mbpp,Q1,2.54,0,2.54,100,0/213,0.9389671362,140,0.5308,0.5979,0.624,0.321,,,0.7854,,5.82%,2.61%,8.37%,0.70%,25.86%,0.86%,22.36%,0.98%
mbpp,self-output,llama,mbpp,FALSE,mbpp,Q1,2.54,0,2.54,200,0/213,1.877934272,140,0.5582,0.5979,0.6138,,,,0.7763,,5.56%,1.59%,,,26.11%,1.20%,24.33%,0.07%
mbpp,self-output,llama,mbpp,FALSE,mbpp,Q2,3.48,0,3.48,100,0/213,0.9389671362,109,0.5308,0.5979,0.5952,0.318,,,0.7741,,6.44%,-0.27%,8.07%,0.40%,25.51%,0.51%,21.23%,-0.15%
mbpp,self-output,llama,mbpp,FALSE,mbpp,Q2,3.48,0,3.48,200,0/213,1.877934272,109,0.5582,0.5979,0.6138,0.331,,,0.7809,,5.56%,1.59%,9.97%,1.70%,25.68%,0.77%,24.79%,0.53%
mbpp,self-output,llama,mbpp,FALSE,mbpp,Q3,4.67,0,4.67,100,0/213,0.9389671362,84,0.5308,0.5979,0.6138,,,,0.7794,,8.30%,1.59%,,,25.00%,0.51%,21.76%,0.38%
mbpp,self-output,llama,mbpp,FALSE,mbpp,Q3,4.67,0,4.67,200,0/213,1.877934272,84,0.5582,0.5979,0.6323,0.333,,,0.7892,,7.41%,3.44%,10.17%,1.90%,25.00%,0.09%,25.62%,1.36%
mbpp,self-output,llama,mbpp,FALSE,mbpp,highest,6.44,0,6.44,100,0/213,0.9389671362,61,0.5308,0.5979,0.6111,0.315,,,0.7854,,8.03%,1.32%,7.77%,0.10%,25.69%,0.69%,22.36%,0.98%
mbpp,self-output,llama,mbpp,FALSE,mbpp,highest,6.44,0,6.44,200,0/213,1.877934272,61,0.5582,0.5979,0.6085,0.326,,,0.7847,,5.03%,1.06%,9.47%,1.20%,24.66%,-0.25%,25.17%,0.91%
,,,,FALSE,setting 3,,,,,,,ep2 has highest val accuracy in lowest,,,,,,,,,,,,,,,,,
mbpp,self-output,llama,mbpp,FALSE,mbpp-ep1,lowest,1.86,0,1.86,108,0/213,1,193,0.5344,0.5979,0.619,0.319,0.814,,0.7839,,,2.11%,,,,,,
mbpp,self-output,llama,mbpp,TRUE,mbpp-ep2,lowest,1.86,0,1.86,216,0/213,2,193,0.5079,0.5979,0.6164,0.334,0.8242,0.7918,0.7839,0.2001,*highest val accuracy,1.85%,,,,,,
mbpp,self-output,llama,mbpp,FALSE,mbpp-ep3,lowest,1.86,0,1.86,324,0/213,3,193,0.5608,0.5979,0.6323,0.322,0.8225,,0.7862,,,3.44%,,,,,,
